id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
GUOdmtII/,GUOdmtII7,7,7,Attempt missed. Jerry Van Dam (Caen) left footed shot from the right side of the box is too high. Assisted by Nicolas Seube.,1,12.0,1,Caen,Valenciennes,jerry van dam,nicolas seube,,,10.0,2.0,0,11.0,2.0,1,1.0,0
GUOdmtII/,GUOdmtII8,8,8,GrA©gory Pujol (Valenciennes) wins a free kick in the attacking half.,8,,2,Valenciennes,Caen,gregory pujol,,,,,,0,1.0,,0,,0
GUOdmtII/,GUOdmtII9,9,8,Foul by Thomas Heurtaux (Caen).,3,,1,Caen,Valenciennes,thomas heurtaux,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII10,10,16,Benjamin Nivet (Caen) wins a free kick in the attacking half.,8,,1,Caen,Valenciennes,benjamin nivet,,,,,,0,1.0,,0,,0
GUOdmtII/,GUOdmtII11,11,16,Foul by Isimat Mirin (Valenciennes).,3,,2,Valenciennes,Caen,isimat mirin,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII12,12,17,Foul by Carlos SA¡nchez (Valenciennes).,3,,2,Valenciennes,Caen,carlos sanchez,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII13,13,17,Gregory Proment (Caen) wins a free kick in the attacking half.,8,,1,Caen,Valenciennes,gregory proment,,,,,,0,1.0,,0,,0
GUOdmtII/,GUOdmtII14,14,17,Carlos SA¡nchez (Valenciennes) is shown the yellow card for a bad foul.,4,,2,Valenciennes,Caen,carlos sanchez,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII15,15,18,Mathieu Dossevi (Valenciennes) wins a free kick on the right wing.,8,,2,Valenciennes,Caen,mathieu dossevi,,,,,,0,5.0,,0,,0
GUOdmtII/,GUOdmtII16,16,18,Foul by FrA©dA©ric Bulot (Caen).,3,,1,Caen,Valenciennes,frederic bulot,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII17,17,19,"Corner,  Valenciennes. Conceded by Alexandre Raineau.",2,,2,Valenciennes,Caen,alexandre raineau,alexandre raineau,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII18,18,19,Attempt missed. Benjamin Angoua (Valenciennes) header from very close range is too high. Assisted by Mathieu Dossevi with a cross following a corner.,1,12.0,2,Valenciennes,Caen,benjamin angoua,mathieu dossevi,,,10.0,2.0,0,13.0,3.0,2,3.0,0
GUOdmtII/,GUOdmtII19,19,21,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,,2,Valenciennes,Caen,jerry van dam,jerry van dam,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII20,20,21,Alexandre Raineau (Caen) wins a free kick in the defensive half.,8,,1,Caen,Valenciennes,alexandre raineau,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII21,21,21,Foul by Renaud Cohade (Valenciennes).,3,,2,Valenciennes,Caen,renaud cohade,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII22,22,25,"Attempt missed. Pierre-Alain Frau (Caen) left footed shot from outside the box is close, but misses the top left corner. Assisted by Gregory Leca.",1,12.0,1,Caen,Valenciennes,pierrealain frau,gregory leca,,,12.0,2.0,0,15.0,2.0,1,1.0,0
GUOdmtII/,GUOdmtII23,23,25,Foul by Alexandre Raineau (Caen).,3,,1,Caen,Valenciennes,alexandre raineau,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII24,24,25,RA©mi Gomis (Valenciennes) wins a free kick on the right wing.,8,,2,Valenciennes,Caen,remi gomis,,,,,,0,5.0,,0,,0
